,0
14,"VP, Equity Advisor, Private Bank
Save
United Overseas Bank Singapore
Posting Date: 07-Dec-2020 Location: Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 yea
Full time
2 hours ago

Competitive"
15,"Assistant VP, Data Scientist, Data Management Office
Save
United Overseas Bank Singapore
Posting Date: 17-Dec-2020 Location: Raffles Place, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans m
Full time
2 hours ago

Competitive"
16,"VP, Credit Administration and Control - Credit Control Wholesale
Save
United Overseas Bank Singapore
Posting Date: 07-Dec-2020 Location: Cecil Street, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans mo
Full time
2 hours ago

Competitive"
17,"Senior VP, Advanced Threat Research, Group Information Security
Save
United Overseas Bank Singapore
Posting Date: 16-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 hours ago

Competitive"
18,"VP, Production Support Lead (Loan Origination), Production Services, Group Banking Technology
Save
United Overseas Bank Singapore
Posting Date: 20-Dec-2020 Location: Alexandra Road, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans
Full time
2 hours ago

Competitive"
19,"First VP / VP, Technical Delivery Manager, Group Banking Technology
Save
United Overseas Bank Singapore
Posting Date: 20-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 hours ago

Competitive"
20,"Assistant VP, Programmes and Partnerships, Group Strategic Communications and Brand
Save
United Overseas Bank Singapore
Posting Date: 20-Dec-2020 Location: Raffles Place, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia, Thailand and Vietnam, as well as branches and offices across the re
Full time
2 hours ago

Competitive"
21,"First VP/VP, Security Operations Centre Manager, Group Information Security
Save
United Overseas Bank Singapore
Posting Date: 01-Jan-2021 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 hours ago

Competitive"
22,"Senior VP, Agile & DevOps Practice Lead, Microservices & Continuous Delivery, Group Technology
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Raffles Place, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans m
Full time
2 hours ago

Competitive"
23,"First VP / VP, Senior System Analyst (Trade Transformation)
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 hours ago

Competitive"
24,"#SGUP - Technology Operations Governance & Assurance, Group Technology & Operations
Save
United Overseas Bank Singapore
Posting Date: 06-Jan-2021 Location: Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80
Full time
2 hours ago

Competitive"
25,"First VP, Identity Access Management, Group Information Security
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 hours ago

Competitive"
26,"Senior VP, Head of Platform Services, Group Infrastructure & Platform Services
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 hours ago

Competitive"
